date,t,kwh,dow,n_obs,coverage,observed,sub_kwh,year,doy,std_resid,ppp,lam,fitted,p_block
2007-01-03,18,16.9009,2,1440,1.0,True,5.109,2007,3,-2.236923791718879,0.03524414897995523,0.6242204638733528,34.18618390825355,0.89875
2007-01-04,19,54.32353333333333,3,1440,1.0,True,19.544,2007,4,5.25399117094575,0.9988220481769526,0.2059470105310902,31.479019361841637,0.941875
2007-01-05,20,45.22273333333333,4,1440,1.0,True,9.464,2007,5,0.6476573985921356,0.7260260698940166,1.092580684395507,33.04995223782369,0.9575
2007-01-06,21,25.139633333333332,5,1440,1.0,True,7.416,2007,6,-3.049628704185068,0.012301298685943733,0.4628618677030317,37.600878854743534,0.85
2007-01-07,22,40.79366666666667,6,1440,1.0,True,22.974,2007,7,1.5043031105384566,0.9054390854343773,0.8453784281760455,37.0637622688539,0.885625
2007-01-08,23,37.356,0,1440,1.0,True,18.014,2007,8,0.742956747102922,0.7549178400109072,1.0685650613647886,31.827834126384552,0.851875
2007-01-09,24,31.1509,1,1440,1.0,True,15.745,2007,9,-0.7897154372098025,0.23228899240683162,1.0403489047824406,33.49838876264292,0.78375
2007-01-10,25,35.913333333333334,2,1440,1.0,True,16.239,2007,10,0.5525711391414592,0.6976870444477163,1.121176013574004,33.73083778751099,0.844375
2007-01-11,26,37.58656666666666,3,1440,1.0,True,15.963,2007,11,1.0319523605564795,0.8264338973598229,0.9662745436490513,31.009458066349335,0.96875
2007-01-12,27,24.354933333333335,4,1440,1.0,True,8.715,2007,12,-1.9153208521695324,0.05407258572083977,0.7120097767806146,32.566821802111484,0.8875
2007-01-13,28,53.113566666666664,5,1440,1.0,True,22.122,2007,13,3.421126512371056,0.9921648638950324,0.3847178703651298,37.10482660522029,0.77125
2007-01-14,29,50.130266666666664,6,1439,0.9993055555555556,True,18.967,2007,14,1.359232768812704,0.8853000816707791,0.8957626463402995,36.5554360332015,0.92625
2007-01-15,30,35.811299999999996,0,1440,1.0,True,18.501,2007,15,-0.10121204405230427,0.4617503315734165,1.1734299733745865,31.307881446745576,0.963125
2007-01-16,31,28.106733333333334,1,1440,1.0,True,9.29,2007,16,-1.1715670018161253,0.14555208433776207,0.9682783131557516,32.96745611354323,0.9675
2007-01-17,32,47.46146666666667,2,1440,1.0,True,25.301,2007,17,2.88819783118326,0.9849767955127627,0.47746347697800956,33.18956979944327,0.964375
2007-01-18,33,30.3577,3,1440,1.0,True,13.827,2007,18,-0.9761296566023594,0.18614608295602678,1.0115365335973912,30.458496755952467,0.98
2007-01-19,34,24.674,4,1440,1.0,True,9.605,2007,19,-1.3098487431337724,0.12160392336963545,0.8937277271109633,32.00680580984386,0.969375
2007-01-20,35,52.22886666666667,5,1440,1.0,True,20.986,2007,20,3.305408889466469,0.9910118485457835,0.4068006192788016,36.53639044144471,0.97625
2007-01-21,36,56.7877,6,1440,1.0,True,27.512,2007,21,2.6770813900412604,0.9802608801444838,0.5187464484700467,35.979209333567255,0.945625
2007-01-22,37,36.34156666666667,0,1440,1.0,True,15.398,2007,22,-0.3868583011054378,0.3580205024310291,1.1377400791598484,30.72448823774839,0.946875
2007-01-23,38,29.627333333333336,1,1440,1.0,True,6.125,2007,23,-0.8679819026360726,0.21185732950576863,1.0462761145667172,32.37751408913353,0.939375
2007-01-24,39,49.79756666666666,2,1440,1.0,True,17.688,2007,24,3.2721664583666334,0.9906522300453777,0.4124130880064331,32.59368960953183,0.948125
2007-01-25,40,26.605733333333333,3,1440,1.0,True,12.659,2007,25,-1.737630214346999,0.06900303939687127,0.7559839901025407,29.857281307652055,0.93
2007-01-26,41,26.9662,4,1440,1.0,True,9.662,2007,26,-0.5790062590735768,0.29366460976694836,1.1187306460319086,31.400849582268137,0.9375
2007-01-27,42,34.06786666666667,5,1440,1.0,True,17.44,2007,27,-0.03513860378049054,0.4866557166610376,1.176986974249594,35.92627881486593,0.945625
2007-01-28,43,51.503400000000006,6,1439,0.9993055555555556,True,19.508,2007,28,3.017137049625973,0.9872394337166341,0.4536262802779675,35.365517933719474,0.97625
2007-01-29,44,33.0444,0,1440,1.0,True,16.671,2007,29,-0.5540540839634851,0.30196419270818065,1.0910297053609974,30.10778229604336,0.981875
2007-01-30,45,28.4633,1,1440,1.0,True,10.696,2007,30,-0.7858501619026964,0.23322777172807163,1.0421681001828984,31.758347819529313,0.97625
2007-01-31,46,39.39586666666666,2,1440,1.0,True,21.002,2007,31,1.5554752263161529,0.9119549180565429,0.8083748625358567,31.972605602788036,0.963125
2007-02-01,47,30.412666666666667,3,1440,1.0,True,14.701,2007,32,-0.28753720787918335,0.3926771782152724,1.1545255953120068,29.23480994366265,0.946875
2007-02-02,48,27.7956,4,1440,1.0,True,11.694,2007,33,-0.6156995893836008,0.2822123072619632,1.106319221914746,30.777508461164416,0.95875
2007-02-03,49,67.16203333333334,5,1440,1.0,True,27.153,2007,34,5.911601874843166,0.9993320347714928,0.16736169644311302,35.30257220753708,0.96
2007-02-04,50,59.93233333333333,6,1440,1.0,True,22.46,2007,35,2.378106913235092,0.9703533142959815,0.595317887456622,34.741936252386466,0.98125
2007-02-05,51,27.421333333333333,0,1440,1.0,True,11.309,2007,36,-2.0575625098614694,0.04507241703205923,0.6756153352663387,29.484801585493532,0.988125
2007-02-06,52,21.224666666666668,1,1440,1.0,True,6.107,2007,37,-1.636501019238481,0.07882618089000505,0.8022931188414805,31.136429269593044,0.988125
2007-02-07,53,38.8003,2,1440,1.0,True,18.798,2007,38,2.0038194682707715,0.9518368029585388,0.683146020907443,31.352195082610702,0.985625
2007-02-08,54,30.023566666666667,3,1440,1.0,True,12.749,2007,39,-0.24803809311258912,0.4070412179839628,1.1403309460217133,28.616337558303886,0.99
2007-02-09,55,27.003300000000003,4,1440,1.0,True,12.815,2007,40,-0.6626129230033727,0.2680389264047426,1.0864902290632017,30.161388131020374,0.991875
2007-02-10,56,47.15546666666667,5,1440,1.0,True,22.307,2007,41,2.4471112972295956,0.9734527365510417,0.5896026086946949,34.68920127106073,0.98875
2007-02-11,57,59.52046666666667,6,1440,1.0,True,20.309,2007,42,3.7146214834285742,0.9944199196403268,0.35013917423319074,34.1316950925492,0.958125
2007-02-12,58,31.2935,0,1440,1.0,True,14.143,2007,43,-1.267922161562813,0.1295943738105874,0.9215976381534711,28.87805328039896,0.9625
2007-02-13,59,23.575766666666667,1,1440,1.0,True,9.084,2007,44,-1.407343126676671,0.10702714623159283,0.8741589520010166,30.53351926763175,0.97375
2007-02-14,60,41.644533333333335,2,1440,1.0,True,18.667,2007,45,2.4229232777482324,0.9725637624699961,0.5822452067350968,30.753450902504493,0.99875
2007-02-15,61,33.0891,3,1440,1.0,True,16.391,2007,46,0.1771380486380238,0.5666822484253484,1.1735504733165727,28.022068514368016,0.9975
2007-02-16,62,28.375466666666668,4,1440,1.0,True,10.696,2007,47,-0.5563790982947041,0.30076341330712103,1.0943791947560384,29.57188508393004,0.999375
2007-02-17,63,34.615199999999994,5,1440,1.0,True,11.148,2007,48,0.17245403172874643,0.5649036973155525,1.1725265286304056,34.10473640438714,0.998125
2007-02-18,64,63.82936666666667,6,1440,1.0,True,27.239,2007,49,5.392932748217361,0.9989616011736409,0.19282973695429972,33.552521715291675,0.994375
2007-02-19,65,36.44356666666667,0,1440,1.0,True,17.619,2007,50,-0.5696942504490144,0.29832494236463086,1.097266774296295,28.30440565571156,0.901875
2007-02-20,66,52.4988,1,1440,1.0,True,16.962,2007,51,3.4952785052059157,0.9928308532183793,0.3784274916531285,29.96561246790626,0.78125
2007-02-21,67,34.5479,2,1440,1.0,True,17.407,2007,52,-0.7265952587559695,0.25071028353917524,1.0891513675963507,30.191480690947255,0.671875
2007-02-22,68,56.15796666666667,3,1438,0.9986111111111112,True,17.789,2007,53,4.850494390390396,0.9982943857871414,0.22806319281458853,27.46621125316481,0.36875
2007-02-23,69,21.891333333333332,4,1440,1.0,True,11.289,2007,54,-3.2048112883156876,0.01026021506600869,0.4269034537987318,29.02229766907017,0.188125
2007-02-24,70,11.915366666666667,5,1440,1.0,True,3.925,2007,55,-3.4010761186153746,0.008030371593113303,0.3969361355091678,33.56155622718095,0.100625
2007-02-25,71,8.362333333333334,6,1440,1.0,True,1.989,2007,56,-2.967343644152283,0.013725264153359774,0.4713408100558445,33.01586665058128,0.03875
2007-02-26,72,9.474733333333337,0,1440,1.0,True,3.161,2007,57,-1.6241984460571546,0.08115404767008068,0.8008060240047052,27.774374076746064,0.01125
2007-02-27,73,8.6352,1,1440,1.0,True,2.238,2007,58,-2.5001379683728326,0.024923796967151718,0.5696469436213374,29.442283287817453,0.018125
2007-02-28,74,8.679566666666666,2,1440,1.0,True,2.313,2007,59,-2.3636964413784285,0.02995021292589326,0.587397876692703,29.674913430729816,0.00125
2007-03-01,75,8.626066666666667,3,1440,1.0,True,2.296,2007,60,-1.8778358273749274,0.057441777473230024,0.7150998387392611,26.956446136031726,0.001875
2007-03-02,76,8.5948,4,1440,1.0,True,2.309,2007,61,-2.3437878371104803,0.03062137888768216,0.5967867275082972,28.51935574102415,0.000625
2007-03-03,77,13.652033333333332,5,1440,1.0,True,4.944,2007,62,-2.142506734236118,0.04024986403569428,0.6359955108701252,33.06543950360844,0.0
2007-03-04,78,34.845,6,1440,1.0,True,19.595,2007,63,1.717938622251625,0.9287778200055601,0.7563672352884896,32.5265582886425,0.00625
2007-03-05,79,44.33886666666667,0,1440,1.0,True,27.862,2007,64,2.9028110053800025,0.9852907474100219,0.47782279070466754,27.29183857331102,0.06
2007-03-06,80,20.775,1,1440,1.0,True,6.44,2007,65,-2.6096022298579213,0.02153507202211554,0.5335490685352124,28.966466702652284,0.139375
2007-03-07,81,39.58676666666667,2,1440,1.0,True,21.35,2007,66,2.414630655021648,0.9722680362193015,0.5847910292097367,29.20574363462119,0.23
2007-03-08,82,26.2022,3,1440,1.0,True,12.22,2007,67,-0.7488377362022949,0.2433760237981109,1.0792202179087327,26.493833083498448,0.420625
2007-03-09,83,21.2102,4,1440,1.0,True,10.069,2007,68,-1.2105084967306177,0.13827616659147535,0.9327978318161331,28.06319176723926,0.65125
2007-03-10,84,41.41186666666667,5,1440,1.0,True,20.531,2007,69,2.037583477634267,0.9540633058106455,0.6787551349657588,32.61559964511934,0.81125
2007-03-11,85,58.0106,6,1440,1.0,True,17.73,2007,70,4.057911592466849,0.9961830168870491,0.30378271701862103,32.08290062745699,0.916875
2007-03-12,86,32.51113333333333,0,1440,1.0,True,16.597,2007,71,-0.7225057359165119,0.2520991292060164,1.0914939654082991,26.854204603879232,0.934375
2007-03-13,87,21.5024,1,1440,1.0,True,10.532,2007,72,-1.6376249304705655,0.07871530369576239,0.801475746864453,28.53468172125239,0.916875
2007-03-14,88,29.8894,2,1440,1.0,True,12.572,2007,73,0.6750768278874456,0.7353161230049288,1.0697616187902168,28.77961715062777,0.956875
2007-03-15,89,31.413566666666668,3,1440,1.0,True,14.299,2007,74,0.8827960021459276,0.7920480780290144,1.0124816928664222,26.07315925198624,0.950625
2007-03-16,90,28.36756666666667,4,1440,1.0,True,11.08,2007,75,-0.23068738798448216,0.41338350834086646,1.1409398534614592,27.647749842345288,0.95
2007-03-17,91,33.8015,5,1440,1.0,True,14.842,2007,76,0.2390996998389422,0.5895622200292223,1.1377177176717668,32.205154453567616,0.951875
2007-03-18,92,39.51743333333333,6,1440,1.0,True,19.789,2007,77,1.2987056698044972,0.876535167748085,0.9116639612917788,31.67720306162119,0.97
2007-03-19,93,35.8753,0,1440,1.0,True,18.452,2007,78,1.165897910147632,0.8533894484077859,0.9555129273352213,26.45299213373094,0.966875
2007-03-20,94,34.77046666666667,1,1440,1.0,True,17.837,2007,79,0.5594835665124489,0.6999668067112723,1.1149847077438608,28.13767892453161,0.950625
2007-03-21,95,35.70153333333334,2,1440,1.0,True,18.333,2007,80,0.870882118873002,0.7888465557460984,1.044816266244743,28.38653626053538,0.948125
2007-03-22,96,24.249633333333335,3,1440,1.0,True,11.551,2007,81,-0.747698559088276,0.24359660651526935,1.06961045856704,25.683700721689625,0.9675
2007-03-23,97,21.8168,4,1440,1.0,True,10.273,2007,82,-0.881190830813678,0.20834505594957087,1.0278711389028468,27.26160292555573,0.96
2007-03-24,98,49.47383333333333,5,1440,1.0,True,25.886,2007,83,3.5307964664182006,0.993117492806175,0.37137021266622466,31.821997800440048,0.94625
2007-03-25,99,55.602066666666666,6,1439,0.9993055555555556,True,17.588,2007,84,3.1733113787863716,0.9894229538861158,0.4301235221675597,31.29670532919858,0.984375
2007-03-26,100,23.601366666666667,0,1440,1.0,True,10.528,2007,85,-2.0708694376701344,0.044246691240748294,0.6755757405911572,26.07481261014543,0.99375
2007-03-27,101,18.419,1,1440,1.0,True,6.716,2007,86,-1.5061283142617665,0.09388154055860182,0.841266809537774,27.761468166150898,0.9925
2007-03-28,102,38.8983,2,1440,1.0,True,23.537,2007,87,2.5827884478949614,0.9777708580355134,0.5414419751777314,28.011936741232052,0.985
2007-03-29,103,26.506766666666667,3,1440,1.0,True,12.346,2007,88,-0.5156379556784696,0.3140312055745555,1.1296187233738602,25.310347493390076,0.985625
2007-03-30,104,23.373233333333335,4,1440,1.0,True,9.779,2007,89,-0.7117836229258093,0.25366718577767466,1.1052127032005228,26.88912428922488,0.994375
2007-03-31,105,58.49183333333334,5,1440,1.0,True,28.009,2007,90,5.084709620470256,0.9986286914054773,0.2132169693656033,31.450015986625314,0.996875
2007-04-01,106,46.43253333333333,6,1440,1.0,True,29.539,2007,91,0.9664675899250399,0.8102060902308951,1.002014062856324,30.92483718726201,0.97875
2007-04-02,107,32.679633333333335,0,1440,1.0,True,19.366,2007,92,0.21339998579442201,0.5800098815611257,1.157693719873205,25.702670305293214,0.896875
2007-04-03,108,27.380333333333333,1,1440,1.0,True,12.309,2007,93,-0.4667819205685956,0.33019018827035085,1.1282163708726876,27.388659883362227,0.8675
2007-04-04,109,34.1978,2,1440,1.0,True,18.602,2007,94,1.1811372463329564,0.856301296016249,0.9520231972355395,27.6380673951824,0.839375
2007-04-05,110,30.73463333333333,3,1440,1.0,True,15.886,2007,95,0.5997996637363979,0.7128403329251265,1.077050300531555,24.93501944345314,0.656875
2007-04-06,111,26.68566666666667,4,1440,1.0,True,14.632,2007,96,-0.3591274154113567,0.3670863314288219,1.1509148493921384,26.51193805863081,0.47125
2007-04-07,112,25.898733333333332,5,1440,1.0,True,10.161,2007,97,-0.9372759401098,0.19498485722196598,1.022117266083369,31.070570984853745,0.358125
2007-04-08,113,26.8136,6,1440,1.0,True,4.03,2007,98,-0.32095564524633635,0.38079155043455,1.1505906129139476,30.542732434737363,0.069375
2007-04-09,114,16.682,0,1440,1.0,True,6.982,2007,99,-1.294819601210587,0.12402829573589746,0.9219686266058125,25.317505159448974,0.011875
2007-04-10,115,12.956066666666668,1,1440,1.0,True,3.523,2007,100,-1.9354724072668485,0.052704996828117696,0.7250716452812775,27.000034765140395,0.003125
2007-04-11,116,14.791366666666669,2,1440,1.0,True,7.533,2007,101,-1.2857310350066955,0.12604699297361355,0.9036976088280789,27.24558451503297,0.003125
2007-04-12,117,8.961766666666668,3,1440,1.0,True,2.359,2007,102,-1.9565703900766132,0.05128267541882989,0.702482555618044,24.538283525894794,0.001875
2007-04-13,118,9.1837,4,1440,1.0,True,2.546,2007,103,-1.9906290069690258,0.0490595003724508,0.6874075343535515,26.110557064445835,0.00125
2007-04-14,119,9.2378,5,1440,1.0,True,2.586,2007,104,-2.7039242669674315,0.019116872255408427,0.526627582180081,30.664156829978708,0.0
2007-04-15,120,12.102733333333331,6,1440,1.0,True,3.919,2007,105,-1.7938315950351496,0.064457820584618,0.7435636043827981,30.130901704927325,0.0
2007-04-16,121,15.873166666666666,0,1440,1.0,True,6.913,2007,106,-0.4057998303749979,0.35145160311367535,1.1480819702125153,24.89987981978988,0.0
2007-04-17,122,20.395566666666664,1,1440,1.0,True,8.12,2007,107,-0.4997159786814228,0.3193624534250519,1.1354874137276783,26.576242863494794,0.0
2007-04-18,123,16.637433333333334,2,1440,1.0,True,5.364,2007,108,-1.4051841739016582,0.10739868012211383,0.9021511295670643,26.815260878508607,0.000625
2007-04-19,124,17.144299999999998,3,1440,1.0,True,8.086,2007,109,-0.5641725979711075,0.29854664517477436,1.1294796576583759,24.10107044943663,0.000625
2007-04-20,125,13.709666666666667,4,1440,1.0,True,4.928,2007,110,-1.6779181133235874,0.07453446344014451,0.7824104193272069,25.666104990655555,0.00125
2007-04-21,126,27.894266666666667,5,1440,1.0,True,18.167,2007,111,0.38792518289358574,0.642549587127531,1.1426143163815141,30.21212501928596,0.0025
2007-04-22,127,37.228566666666666,6,1440,1.0,True,17.653,2007,112,1.5107291460206165,0.9066832908787782,0.8564923611236737,29.670958895237007,0.010625
2007-04-23,128,17.5761,0,1440,1.0,True,7.913,2007,113,-1.7329874154897598,0.06915107475183248,0.7695951284654439,24.431704874751773,0.019375
2007-04-24,129,17.201666666666664,1,1440,1.0,True,8.332,2007,114,-1.1325243797982527,0.15299740564695807,0.9557767718238757,26.099525408550708,0.02625
2007-04-25,130,21.069366666666667,2,1440,1.0,True,10.281,2007,115,-0.34152654398369686,0.3734821410754761,1.1473034622240812,26.329701923883825,0.0425
2007-04-26,131,21.257766666666665,3,1440,1.0,True,10.332,2007,116,-0.06810655920666332,0.4741995130814125,1.1842894174577667,23.606382999268035,0.048125
2007-04-27,132,18.23886666666667,4,1440,1.0,True,7.073,2007,117,-1.0849019240626843,0.16226238779538352,0.9802012465981533,25.16201463745462,0.053125
2007-04-28,133,,5,21,0.0145833333333333,False,0.018,2007,118,,,0.9898070390662178,29.698370522956214,0.068125
2007-04-29,134,,6,0,0.0,False,0.0,2007,119,,,1.0230248723528348,29.147292745888084,0.065
2007-04-30,135,,0,576,0.4,False,2.845,2007,120,,,1.0334485208336264,23.897893838565725,0.061875
2007-05-01,136,27.730966666666667,1,1440,1.0,True,13.546,2007,121,,,1.12984489509603,25.555351055976658,0.10125
2007-05-02,137,16.724766666666667,2,1440,1.0,True,5.251,2007,122,-1.7638585700760439,0.06629947697133627,0.7629883318790235,25.774961139466075,0.20625
2007-05-03,138,18.170633333333335,3,1440,1.0,True,11.467,2007,123,-0.26608186492819447,0.4005507210791424,1.1651522806030699,23.04088847242317,0.278125
2007-05-04,139,16.635466666666666,4,1440,1.0,True,6.787,2007,124,-1.10002965680985,0.15925143978024225,0.9764771554339677,24.58559533354473,0.196875
2007-05-05,140,26.050866666666664,5,1440,1.0,True,16.709,2007,125,-0.014177721427675984,0.4946241722395712,1.1497801206074656,29.110872134027638,0.183125
2007-05-06,141,35.035066666666665,6,1440,1.0,True,14.259,2007,126,1.3681633000764166,0.8872496469620582,0.8879468586714938,28.54857812046285,0.185625
2007-05-07,142,27.3944,0,1440,1.0,True,15.314,2007,127,0.3035479450324134,0.6131042029356446,1.1497109142271802,23.28784338990773,0.235
2007-05-08,143,29.82153333333333,1,1440,1.0,True,15.369,2007,128,0.6029136529891186,0.7137820452634833,1.1239885813416912,24.933863148276778,0.265
2007-05-09,144,27.76226666666667,2,1440,1.0,True,18.123,2007,129,0.1460121649719512,0.5551431146889712,1.1601952135632745,25.141952451409427,0.1875
2007-05-10,145,11.798066666666667,3,1440,1.0,True,4.741,2007,130,-2.0759511879948693,0.043455205117375904,0.6856283731292934,22.396294337643127,0.276875
2007-05-11,146,16.319233333333333,4,1440,1.0,True,7.888,2007,131,-0.6550963315449815,0.2705526807532023,1.1040505585586653,23.929370057483887,0.31875
2007-05-12,147,24.0261,5,1440,1.0,True,13.73,2007,132,-0.28046655478076443,0.39539689594997063,1.1564156594802626,28.44298928676108,0.43
2007-05-13,148,27.245633333333338,6,1440,1.0,True,14.984,2007,133,0.18442607311895057,0.5694308438560632,1.1341479841433466,27.869030805065407,0.420625
2007-05-14,149,24.463033333333332,0,1440,1.0,True,11.11,2007,134,0.3786444222398475,0.6398080815962796,1.1362799570895732,22.596644485976707,0.41625
2007-05-15,150,15.073200000000002,1,1440,1.0,True,5.726,2007,135,-1.764849116418016,0.06621635559890235,0.744485951771494,24.231045530251027,0.3475
2007-05-16,151,28.215733333333333,2,1440,1.0,True,17.046,2007,136,1.29724533185337,0.8762148503091612,0.8977866576099768,24.427569181358873,0.2625
2007-05-17,152,20.530266666666662,3,1440,1.0,True,10.774,2007,137,-0.45915116629046643,0.33257936668273436,1.1226288475748152,21.67041883223063,0.245625
2007-05-18,153,27.192166666666665,4,1440,1.0,True,15.299,2007,138,0.7913758855626465,0.768381822976547,1.0601505677588283,23.192096228832252,0.324375
2007-05-19,154,23.824033333333333,5,1440,1.0,True,12.235,2007,139,-0.961615187020278,0.18923535103880337,1.0297067680535839,27.6944316569912,0.43875
2007-05-20,155,32.80546666666667,6,1440,1.0,True,14.764,2007,140,1.2802817368100705,0.8735041941662469,0.9189972655428573,27.10932459430548,0.46625
2007-05-21,156,18.6677,0,1440,1.0,True,9.528,2007,141,-0.9462844223961815,0.19257053735562957,1.0227993192803115,21.825945673668425,0.565
2007-05-22,157,18.88086666666667,1,1440,1.0,True,8.881,2007,142,-0.6054753507181677,0.2853678719468899,1.0889046965236775,23.44953088961467,0.608125
2007-05-23,158,24.4156,2,1440,1.0,True,12.867,2007,143,0.44987256126529984,0.664225106210257,1.128517031329684,23.635436286915578,0.64125
2007-05-24,159,19.2398,3,1440,1.0,True,9.817,2007,144,-0.34517298308591615,0.3719704555880084,1.1507314043538646,20.867886040302547,0.629375
2007-05-25,160,26.903666666666663,4,1440,1.0,True,15.185,2007,145,0.9177344942890437,0.8005673063877694,1.01962586695794,22.37940263098524,0.60625
2007-05-26,161,25.204133333333335,5,1440,1.0,True,13.755,2007,146,-0.6022715956462595,0.28648096194566586,1.0946186081506313,26.87183700641034,0.528125
2007-05-27,162,35.8968,6,1440,1.0,True,20.344,2007,147,1.8355025103974092,0.9397690899993459,0.7391341409925372,26.277109205125782,0.560625
2007-05-28,163,27.291133333333335,0,1440,1.0,True,14.613,2007,148,0.48683639220786196,0.6765360056114952,1.1176932749245316,20.984410293324977,0.59375
2007-05-29,164,17.689,1,1440,1.0,True,6.239,2007,149,-1.3019247947794454,0.12287365528096234,0.9128407012927346,22.59899654429682,0.589375
2007-05-30,165,26.8311,2,1440,1.0,True,16.002,2007,150,1.0594209607087226,0.832395549515754,0.9885090462851803,22.776244100251883,0.649375
2007-05-31,166,15.6425,3,1440,1.0,True,4.964,2007,151,-1.054540022790997,0.16851908049909156,0.9795362488296814,20.000397025430864,0.69125
2007-06-01,167,17.4153,4,1439,0.9993055555555556,True,8.147,2007,152,-0.4434522696166036,0.337920305872798,1.1368253032770008,21.503997456197315,0.693125
2007-06-02,168,24.73936666666667,5,1440,1.0,True,12.854,2007,153,0.05007028595182825,0.5189475083544801,1.1795243269507774,25.9889157345896,0.769375
2007-06-03,169,35.133766666666666,6,1440,1.0,True,20.848,2007,154,1.8298427892510865,0.9393163461508637,0.749244130612351,25.38709100723417,0.74125
2007-06-04,170,15.193633333333334,0,1440,1.0,True,6.954,2007,155,-1.5298843743753625,0.09085832604632309,0.8447858397092205,20.08773313621738,0.63125
2007-06-05,171,24.314866666666667,1,1440,1.0,True,11.959,2007,156,0.7986266666766911,0.7703070925324315,1.071633873838,21.69611685318416,0.5125
2007-06-06,172,28.2273,2,1439,0.9993055555555556,True,15.821,2007,157,0.9671685174451363,0.8122108815227006,0.9930559443309903,21.867636396154484,0.5075
2007-06-07,173,16.4167,3,1440,1.0,True,5.643,2007,158,-0.9069331819288337,0.20201566790975892,1.005125701907091,19.08655353800148,0.42375
2007-06-08,174,35.80076666666666,4,1440,1.0,True,25.619,2007,159,2.90331770788721,0.985311484819308,0.4781591601925902,20.585427712321017,0.48625
2007-06-09,175,17.663566666666668,5,1402,0.9736111111111112,True,8.038,2007,160,-2.3481964611720487,0.03032536034394445,0.5970506182132521,25.066146123194983,0.488125
2007-06-10,176,22.346866666666664,6,1440,1.0,True,12.109,2007,161,0.11612805450957672,0.5438835256058799,1.1491066852770746,24.4606643207837,0.59875
2007-06-11,177,13.244233333333334,0,1440,1.0,True,5.815,2007,162,-0.9174914692739695,0.199335255007732,1.024372396664694,19.158208089369595,0.58875
2007-06-12,178,15.312766666666668,1,1440,1.0,True,6.255,2007,163,-0.5799586064963906,0.2933287474404025,1.1126470336457714,20.7640675791528,0.56875
2007-06-13,179,15.454533333333334,2,1440,1.0,True,7.03,2007,164,-0.6140646362417133,0.2827629476578694,1.093119032374234,20.933651921311878,0.481875
2007-06-14,180,20.984733333333335,3,1440,1.0,True,12.523,2007,165,0.8733402305383545,0.7896109226029613,1.0463744126039092,18.15123723530402,0.39625
2007-06-15,181,16.4934,4,1440,1.0,True,10.827,2007,166,-0.7594199769495412,0.24024615207788558,1.0796895588329063,19.649396734158998,0.386875
2007-06-16,182,33.62936666666666,5,1440,1.0,True,18.895,2007,167,1.9135550610232892,0.9457813749925608,0.7246467336360365,24.130030814296692,0.205
2007-06-17,183,32.451499999999996,6,1440,1.0,True,17.896,2007,168,0.9610062918035999,0.8105340964483235,0.9903714934317395,23.525107611825824,0.14875
